RemakeVoiceID,RemakeVoiceFilename,OldScriptId,OldVoiceFilename,MatchType,RemakeVoiceType,RemakeVoiceCharacterId,RemakeVoiceCategory,RemakeVoiceOrderPerCharacter,RemakeVoiceText,OldVoiceText
30016,v015_00_0011,6920,ch0010000016,exact,character_voice,015,main,0011,釣りザオ？　スニーカー？それとも棒術の道具とかっ？,釣りザオ？　スニーカー？それとも棒術の道具とかっ？
30017,v009_00_0006,6921,ch0160000017,exact,character_voice,009,main,0006,…………………………育て方、間違っちまったかな。,…………………………育て方、間違っちまったかな。
30018,v009_00_0007,6922,ch0160000018,exact,character_voice,009,main,0007,お前ねぇ、女の子だったら服とかアクセサリーじゃないか？,お前ねぇ、女の子だったら服とかアクセサリーじゃないか？
30019,v015_00_0012,6923,ch0010000019,exact,character_voice,015,main,0012,キレイな服は好きだけどすぐに汚しちゃうんだもん。,キレイな服は好きだけどすぐに汚しちゃうんだもん。
30020,v015_00_0013,6924,ch0010000020,exact,character_voice,015,main,0013,アクセサリーも遊んでて壊したらヤだし。,アクセサリーも遊んでて壊したらヤだし。
30021,v015_00_0014,6925,ch0010000021,exact,character_voice,015,main,0014,それより、とーさん。その大きな毛布、どうしたの？,それより、とーさん。その大きな毛布、どうしたの？
30022,v015_00_0015,6926,ch0010000022,exact,character_voice,015,main,0015,ひょっとして、それがお土産？,ひょっとして、それがお土産？
30023,v009_00_0008,6927,ch0160000023,exact,character_voice,009,main,0008,お、鋭いな……,お、鋭いな……
30024,v009_00_0009,6928,ch0160000024,exact,character_voice,009,main,0009,よっと……,よっと……
30025,v016_00_0001,6929,ch0160000025,exact,character_voice,016,main,0001,……………………………,……………………………
30026,v015_00_0016,6930,ch0010000026,exact,character_voice,015,main,0016,…………ふえっ？,…………ふえっ？
30027,v015_00_0017,6931,ch0010000027,exact,character_voice,015,main,0017,……………………………,……………………………
30028,v009_00_0010,6932,ch0160000028,exact,character_voice,009,main,0010,まあ、こういうわけだ。,まあ、こういうわけだ。
30029,v009_00_0011,6933,ch0160000029,exact,character_voice,009,main,0011,わりとハンサムな坊主だろ？,わりとハンサムな坊主だろ？
30030,v015_00_0018,6934,ch0010000030,exact,character_voice,015,main,0018,な、な、な………,な、な、な………
30031,v015_00_0019,6935,ch0010000031,exact,character_voice,015,main,0019,なんなのー、この子！？,なんなのー、この子！？
30032,v009_00_0012,6936,ch0160000032,exact,character_voice,009,main,0012,大きな声を出すなって。起こしちまうじゃないか。,大きな声を出すなって。起こしちまうじゃないか。
30033,v015_00_0020,6937,ch0010000033,exact,character_voice,015,main,0020,起きちゃうって……この子、生きてるの？,起きちゃうって……この子、生きてるの？
30034,v015_00_0021,6938,ch0010000034,exact,character_voice,015,main,0021,なんかグッタリしてるけど。,なんかグッタリしてるけど。
30035,v009_00_0013,6939,ch0160000035,exact,character_voice,009,main,0013,手当ては済ませたからもう命の危険はないはずだ。,手当ては済ませたからもう命の危険はないはずだ。
30036,v009_00_0014,6940,ch0160000036,exact,character_voice,009,main,0014,だが、とりあえず……休ませる必要はありそうだな。,だが、とりあえず……休ませる必要はありそうだな。
30037,v009_00_0015,6941,ch0160000037,exact,character_voice,009,main,0015,ベッドに運ぶからエステルはお湯を沸かしてくれ。,ベッドに運ぶからエステルはお湯を沸かしてくれ。
30038,v015_00_0022,6942,ch0010000038,exact,character_voice,015,main,0022,らじゃー！,らじゃー！
30039,v015_00_0023,6943,ch0010000039,exact,character_voice,015,main,0023,よく寝てる……,よく寝てる……
30040,v015_00_0024,6944,ch0010000040,exact,character_voice,015,main,0024,この子、あたしと同じくらいのトシだよね。,この子、あたしと同じくらいのトシだよね。
30041,v015_00_0025,6945,ch0010000041,exact,character_voice,015,main,0025,こんな、真っ黒のカミ、あたしはじめて見るかも。,こんな、真っ黒のカミ、あたしはじめて見るかも。
30042,v009_00_0016,6946,ch0160000042,exact,character_voice,009,main,0016,確かに見事な黒髪だな。,確かに見事な黒髪だな。
30043,v009_00_0017,6947,ch0160000043,exact,character_voice,009,main,0017,ちなみに瞳はアンバーだぞ。,ちなみに瞳はアンバーだぞ。
30044,v015_00_0026,6948,ch0010000044,exact,character_voice,015,main,0026,ふーん。,ふーん。
30045,v015_00_0027,6949,ch0010000045,exact,character_voice,015,main,0027,それはともかく……そろそろ話してもらおーか？,それはともかく……そろそろ話してもらおーか？
30046,v009_00_0018,6950,ch0160000046,exact,character_voice,009,main,0018,ギクッ……,ギクッ……
30047,v015_00_0028,6951,ch0010000047,exact,character_voice,015,main,0028,この子、ダレなの？,この子、ダレなの？
30048,v015_00_0029,6952,ch0010000048,exact,character_voice,015,main,0029,なんでケガしてるの？,なんでケガしてるの？
30049,v015_00_0030,6953,ch0010000049,exact,character_voice,015,main,0030,どうしてとーさんがウチまで連れてきたの？,どうしてとーさんがウチまで連れてきたの？
30050,v015_00_0031,6954,ch0010000050,exact,character_voice,015,main,0031,ひょっとして隠し子？おかーさんを裏切ってたの？,ひょっとして隠し子？おかーさんを裏切ってたの？
30051,v009_00_0019,6955,ch0160000051,exact,character_voice,009,main,0019,ふう、どこでそういう言葉を仕入れてくるんだか……って。,ふう、どこでそういう言葉を仕入れてくるんだか……って。
30052,v009_00_0020,6956,ch0160000052,exact,character_voice,009,main,0020,シェラザードに決まってるか。,シェラザードに決まってるか。
30053,v015_00_0032,6957,ch0010000053,exact,character_voice,015,main,0032,うん、そー。,うん、そー。
30054,v009_00_0021,6958,ch0160000054,exact,character_voice,009,main,0021,まったくあの耳年増め……,まったくあの耳年増め……
30055,v009_00_0022,6959,ch0160000055,exact,character_voice,009,main,0022,この子は、父さんも仕事関係で知り合ったばかりなんだ。,この子は、父さんも仕事関係で知り合ったばかりなんだ。
30056,v009_00_0023,6960,ch0160000056,exact,character_voice,009,main,0023,まだ名前も知らなかったりする。,まだ名前も知らなかったりする。
30057,v015_00_0033,6961,ch0010000057,exact,character_voice,015,main,0033,仕事って、遊撃士の？,仕事って、遊撃士の？
30058,v009_00_0024,6962,ch0160000058,exact,character_voice,009,main,0024,まあな。,まあな。
30059,v009_00_0025,6963,ch0160000059,exact,character_voice,009,main,0025,おっと……,おっと……
30060,v015_00_0034,6964,ch0010000060,exact,character_voice,015,main,0034,えっ？,えっ？
30061,v009_00_0026,6965,ch0160000061,exact,character_voice,009,main,0026,目を醒ますぞ。,目を覚ますぞ。
30062,v016_00_0002,6966,ch0020000062,exact,character_voice,016,main,0002,ん……,ん……
30063,v015_00_0035,6967,ch0010000063,exact,character_voice,015,main,0035,わ、ほんとにコハク色……,わ、ほんとにコハク色……
30064,v016_00_0003,6968,ch0020000064,exact,character_voice,016,main,0003,…………………………,…………………………
30065,v016_00_0004,6969,ch0020000065,exact,character_voice,016,main,0004,…………ここは…………,…………ここは…………
30066,v009_00_0027,6970,ch0160000066,exact,character_voice,009,main,0027,坊主、目を醒ましたか。,坊主、目を覚ましたか。
30067,v009_00_0028,6971,ch0160000067,exact,character_voice,009,main,0028,ここは俺の家だ。とりあえず安心していいぞ。,ここは俺の家だ。とりあえず安心していいぞ。
30068,v016_00_0005,6972,ch0020000068,exact,character_voice,016,main,0005,…………………………,…………………………
30069,v016_00_0006,6973,ch0020000069,exact,character_voice,016,main,0006,……どういうつもりです？,……どういうつもりです？
30070,v015_00_0036,6974,ch0010000070,exact,character_voice,015,main,0036,ふえっ？,ふえっ？
30071,v016_00_0007,6975,ch0020000071,exact,character_voice,016,main,0007,正気とは思えない……,正気とは思えない……
30072,v016_00_0008,6976,ch0020000072,exact,character_voice,016,main,0008,どうして……放っておいてくれなかったんだ。,どうして……放っておいてくれなかったんだ。
30073,v009_00_0029,6977,ch0160000073,exact,character_voice,009,main,0029,どうしてって言われてもなぁ。,どうしてって言われてもなぁ。
30074,v009_00_0030,6978,ch0160000074,exact,character_voice,009,main,0030,いわゆる、成り行きってヤツ？,いわゆる、成り行きってヤツ？
30075,v016_00_0009,6979,ch0020000075,exact,character_voice,016,main,0009,ふ、ふざけないで！,ふ、ふざけないで！
30076,v016_00_0010,6980,ch0020000076,exact,character_voice,016,main,0010,カシウス・ブライト！あなたは自分が何をしてるのか……,カシウス・ブライト！あなたは自分が何をしてるのか……
30077,v015_00_0037,6981,ch0010000077,exact,character_voice,015,main,0037,こらっ！,こらっ！
30078,v015_00_0038,6982,ch0010000078,exact,character_voice,015,main,0038,ケガ人のクセに大声出したりしないの！,ケガ人のクセに大声出したりしないの！
30079,v015_00_0039,6983,ch0010000079,exact,character_voice,015,main,0039,ケガにひびくでしょっ！,ケガにひびくでしょっ！
30080,v016_00_0011,6984,ch0020000080,exact,character_voice,016,main,0011,…………………………,…………………………
30081,v016_00_0012,6985,ch0020000081,exact,character_voice,016,main,0012,………………だれ？,………………だれ？
30082,v015_00_0040,6986,ch0010000082,exact,character_voice,015,main,0040,エステルよっ！,エステルよっ！
30083,v015_00_0041,6987,ch0010000083,exact,character_voice,015,main,0041,エステル・ブライト！,エステル・ブライト！
30084,v009_00_0031,6988,ch0160000084,exact,character_voice,009,main,0031,俺の娘だよ。,俺の娘だよ。
30085,v009_00_0032,6989,ch0160000085,exact,character_voice,009,main,0032,お前さんと同じくらいの娘がいるって話しただろう？,お前さんと同じくらいの娘がいるって話しただろう？
30086,v016_00_0013,6990,ch0020000086,exact,character_voice,016,main,0013,そういえば……,そういえば……
30087,v016_00_0014,6991,ch0020000087,exact,character_voice,016,main,0014,って、そんな話をしてるんじゃ！,って、そんな話をしてるんじゃ！
30088,v016_00_0015,6992,ch0020000088,exact,character_voice,016,main,0015,あたっ！,あたっ☆
30089,v015_00_0042,6993,ch0010000089,exact,character_voice,015,main,0042,おおきな声を出さないっ！,おおきな声を出さないっ！
30090,v016_00_0016,6994,ch0020000090,exact,character_voice,016,main,0016,わ、わかったよ……,わ、わかったよ……
30091,v016_00_0017,6995,ch0020000091,exact,character_voice,016,main,0017,でも、君の行動の方がよけいに怪我に響くんじゃ、,でも、君の行動の方がよけいに怪我に響くんじゃ、
30092,v015_00_0043,6996,ch0010000092,exact,character_voice,015,main,0043,なんか言った？,なんか言った？
30093,v016_00_0018,6997,ch0020000093,exact,character_voice,016,main,0018,だから怪我を悪化させる……,だから怪我を悪化させる……
30094,v015_00_0044,6998,ch0010000094,exact,character_voice,015,main,0044,な・ん・か・言・っ・た？,な・ん・か・言・っ・た？
30095,v016_00_0019,6999,ch0020000095,exact,character_voice,016,main,0019,何でもないです……,何でもないです……
30096,v009_00_0033,7000,ch0160000096,exact,character_voice,009,main,0033,ま、この家の中ではエステルに逆らわん方がいい。,ま、この家の中ではエステルに逆らわん方がいい。
30097,v009_00_0034,7001,ch0160000097,exact,character_voice,009,main,0034,本気で怒らせたら俺も敵わんくらいだからな。,本気で怒らせたら俺も敵わんくらいだからな。
30098,v016_00_0020,7002,ch0020000098,exact,character_voice,016,main,0020,そうみたいですね……,そうみたいですね……
30099,v015_00_0045,7003,ch0010000099,exact,character_voice,015,main,0045,ところで、あんた。なんか忘れてることない？,ところで、あんた。なんか忘れてることない？
30100,v016_00_0021,7004,ch0020000100,exact,character_voice,016,main,0021,え……？,え……？
30101,v015_00_0046,7005,ch0010000101,exact,character_voice,015,main,0046,名前よ、名前。あたしもさっき言ったでしょ。,名前よ、名前。あたしもさっき言ったでしょ。
30102,v015_00_0047,7006,ch0010000102,exact,character_voice,015,main,0047,こっちだけが知らないのってくやしいし、不公平じゃない。,こっちだけが知らないのってくやしいし、不公平じゃない。
30103,v016_00_0022,7007,ch0020000103,exact,character_voice,016,main,0022,……あ………,……あ………
30104,v016_00_0023,7008,ch0020000104,exact,character_voice,016,main,0023,…………………………,…………………………
30105,v009_00_0035,7009,ch0160000105,exact,character_voice,009,main,0035,まあ、道理だな。今さら隠しても仕方あるまい。,まあ、道理だな。今さら隠しても仕方あるまい。
30106,v009_00_0036,7010,ch0160000106,exact,character_voice,009,main,0036,不便だし、聞かせてもらおうか？,不便だし、聞かせてもらおうか？
30107,v016_00_0024,7011,ch0020000107,exact,character_voice,016,main,0024,…………………………,…………………………
30108,v016_00_0025,7012,ch0020000108,exact,character_voice,016,main,0025,わかり……ました………,わかり……ました………
30109,v016_00_0026,7013,ch0020000109,exact,character_voice,016,main,0026,僕は……　……僕の名前は………,僕は……　……僕の名前は………
30110,v009_00_0037,,,unmatched,character_voice,001,main,0001,ふんふふ～ん…♪,
30111,v001_00_0001,50952,ch0320101020,vector_search (0.96),character_voice,001,main,0001,……う～……まぶし…………,……おや…………
30112,v001_00_0002,6124,ch0010000111,vector_search (0.99),character_voice,001,main,0002,ふわあああああああ～っ……,ふわあああああああ〜っ……
30113,v001_00_0003,6125,ch0010000112,vector_search (1.00),character_voice,001,main,0003,ん～～っ、よく寝たぁ～～っ！,ん〜〜っ、よく寝たぁ〜〜っ！
30114,v001_00_0004,6126,ch0010000113,exact,character_voice,001,main,0004,……えっと………今朝の当番は父さんだったっけ。,……えっと………今朝の当番は父さんだったっけ。
30115,v001_00_0005,6728,ch0010000114,exact,character_voice,001,main,0005,それじゃあ……ヨシュアはまだ寝てるのかな。,それじゃあ……ヨシュアはまだ寝てるのかな。
30116,v001_00_0006,6128,ch0010000115,exact,character_voice,001,main,0006,あは、起きてるみたいね。,あは、起きてるみたいね。
30117,v001_00_0007,6129,ch0010000116,exact,character_voice,001,main,0007,よーし……あたしも早く支度しよっと！,よーし……あたしも早く支度しよっと！
30118,v001_00_0008,6041,ch0010000117,exact,character_voice,001,main,0008,ひゅーひゅー！,ひゅーひゅー！
30119,v001_00_0009,6042,ch0010000118,exact,character_voice,001,main,0009,やるじゃない、ヨシュア。,やるじゃない、ヨシュア。
30120,v002_00_0001,6043,ch0020000119,exact,character_voice,002,main,0001,おはよう、エステル。,おはよう、エステル。
30121,v002_00_0002,,,unmatched,character_voice,001,main,0010,ごめん。もしかして起こしちゃった？,
30122,v001_00_0010,5959,ch0010000121,vector_search (0.96),character_voice,001,main,0010,ううん。ちょうど起きたところよ。,ううん。ちょうど起きたところよ。
30123,v001_00_0011,5960,ch0010000122,vector_search (1.00),character_voice,001,main,0011,でも、ヨシュアってば朝っぱらからキザなんだから～。,でも、ヨシュアってば朝っぱらからキザなんだから〜。
30124,v001_00_0012,5961,ch0010000123,vector_search (1.00),character_voice,001,main,0012,や～、お姉さん、思わず聞きほれちゃったわ❤,や〜、お姉さん、思わず聞きほれちゃったわ❤
30125,v002_00_0003,5962,ch0020000124,exact,character_voice,002,main,0003,なにがお姉さんだか。僕と同い年のくせにさ。,なにがお姉さんだか。僕と同い年のくせにさ。
30126,v001_00_0013,5963,ch0010000125,exact,character_voice,001,main,0013,チッチッチッ、甘いわね。,チッチッチッ、甘いわね。
30127,v001_00_0014,6050,ch0010000126,exact,character_voice,001,main,0014,同い年でも、この家ではあたしの方が先輩なんだから。,同い年でも、この家ではあたしの方が先輩なんだから。
30128,v001_00_0015,6051,ch0010000127,exact,character_voice,001,main,0015,言うなれば姉弟子ってやつ？,言うなれば姉弟子ってやつ？
30129,v002_00_0004,5966,ch0020000128,exact,character_voice,002,main,0004,はいはい、良かったね。,はいはい、良かったね。
30130,v001_00_0016,5967,ch0010000129,exact,character_voice,001,main,0016,あ～、なんか投げやり。,あ〜、なんか投げやり。
30131,v001_00_0017,5968,ch0010000130,exact,character_voice,001,main,0017,でも、ホント良い曲よね。明るいんだけど、どこか切なくて……,でも、ホント良い曲よね。明るいんだけど、どこか切なくて……
30132,v001_00_0018,5969,ch0010000131,exact,character_voice,001,main,0018,他の曲も好きだけどやっぱりその曲が一番好きかな。,他の曲も好きだけどやっぱりその曲が一番好きかな。
30133,v001_00_0019,5970,ch0010000132,exact,character_voice,001,main,0019,あれ……何て名前だったっけ？,あれ……何て名前だったっけ？
30134,v002_00_0005,5971,ch0020000133,exact,character_voice,002,main,0005,『星の在（あ）り処（か）』だよ。,『星の在り処（あか）』だよ。
30135,v001_00_0020,5972,ch0010000134,exact,character_voice,001,main,0020,そうそう、『星の在り処』。,そうそう、『星の在り処（あか）』。
30136,v001_00_0021,6060,ch0010000135,exact,character_voice,001,main,0021,あーあ、あたしもハーモニカ、うまく吹けたらいいんだけどな。,あーあ、あたしもハーモニカ、うまく吹けたらいいんだけどな。
30137,v001_00_0022,5974,ch0010000136,exact,character_voice,001,main,0022,簡単そうに見えてこれがけっこう難しいのよね～。,簡単そうに見えてこれがけっこう難しいのよね〜。
30138,v002_00_0006,5975,ch0020000137,exact,character_voice,002,main,0006,君がやってる棒術と較べたらはるかに簡単だと思うけど……,君がやってる棒術と較べたらはるかに簡単だと思うけど……
30139,v002_00_0007,5976,ch0020000138,exact,character_voice,002,main,0007,要は集中力の問題だと思うよ。,要は集中力の問題だと思うよ。
30140,v001_00_0023,5977,ch0010000139,exact,character_voice,001,main,0023,うーん、全身を使わない作業って何だか眠くなってくるのよね～。,うーん、全身を使わない作業って何だか眠くなってくるのよね〜。
30141,v001_00_0024,5978,ch0010000140,exact,character_voice,001,main,0024,ヨシュアも、ハーモニカもいいけどもっとアクティブに行動しなくちゃ。,ヨシュアも、ハーモニカもいいけどもっとアクティブに行動しなくちゃ。
30142,v001_00_0025,5979,ch0010000141,exact,character_voice,001,main,0025,ヨシュアの趣味って、あとは読書と武器の手入れくらいでしょ？,ヨシュアの趣味って、あとは読書と武器の手入れくらいでしょ？
30143,v001_00_0026,5980,ch0010000142,exact,character_voice,001,main,0026,今時インドアばっかりじゃ女の子のハートは掴めないわよ～？,今時インドアばっかりじゃ女の子のハートは掴めないわよ〜？
30144,v002_00_0008,5981,ch0020000143,exact,character_voice,002,main,0008,悪かったね、ウケが悪くて。,悪かったね、ウケが悪くて。
30145,v002_00_0009,5982,ch0020000144,exact,character_voice,002,main,0009,そういう君こそ趣味に偏りがあると思うけど。,そういう君こそ趣味に偏（かたよ）りがあると思うけど。
30146,v002_00_0010,5983,ch0020000145,exact,character_voice,002,main,0010,釣りとか虫取りとかスポーツシューズ集めとか。,釣りとか虫取りとかスポーツシューズ集めとか。
30147,v001_00_0027,5984,ch0010000146,exact,character_voice,001,main,0027,むぐっ……いいじゃん、好きなんだもん。,むぐっ……いいじゃん、好きなんだもん。
30148,v001_00_0028,5985,ch0010000147,exact,character_voice,001,main,0028,って言うか、虫取りなんかとっくの昔に卒業したってば。,って言うか、虫取りなんかとっくの昔に卒業したってば。
30149,v002_00_0011,5986,ch0020000148,exact,character_voice,002,main,0011,うーん、本当かなぁ？,うーん、本当かなぁ？
30150,v009_00_0038,5987,ch0160000149,exact,character_voice,009,main,0038,……おーい。エステル、ヨシュア。,……おーい。エステル、ヨシュア。
30151,v001_00_0029,5988,ch0010000150,exact,character_voice,001,main,0029,あ、父さん、おはよ！,あ、父さん、おはよ！
30152,v002_00_0012,5989,ch0020000151,exact,character_voice,002,main,0012,おはよう父さん。朝食の用意、もう出来たんだ？,おはよう父さん。朝食の用意、もう出来たんだ？
30153,v009_00_0039,5990,ch0160000152,exact,character_voice,009,main,0039,ああ、バッチリだぞ。,ああ、バッチリだぞ。
30154,v009_00_0040,5991,ch0160000153,exact,character_voice,009,main,0040,２人とも、冷めないうちにとっとと降りてこい。,２人とも、冷めないうちにとっとと降りてこい。
30155,v001_00_0030,5992,ch0010000154,exact,character_voice,001,main,0030,りょーかい！,りょーかい！
30156,v002_00_0013,6074,ch0020000155,exact,character_voice,002,main,0013,すぐに行くよ。,すぐに行くよ。
30157,v001_00_0031,6731,ch0010000156,exact,character_voice,001,main,0031,ごちそうさま～！,ごちそうさま〜！
30158,v001_00_0032,6732,ch0010000157,exact,character_voice,001,main,0032,うーん。お腹いっぱいになっちゃった。,うーん。お腹いっぱいになっちゃった。
30159,v002_00_0014,6132,ch0020000158,exact,character_voice,002,main,0014,朝からよく食べるなあ……,朝からよく食べるなあ……
30160,v001_00_0033,6734,ch0010000159,exact,character_voice,001,main,0033,いいじゃん。食う子と寝る子は良く育つよ♪,いいじゃん。食う子と寝る子は良く育つよ♪
30161,v009_00_0041,6735,ch0160000160,exact,character_voice,009,main,0041,まあ、しっかり食ってせいぜい気合いを入れるんだな。,まあ、しっかり喰ってせいぜい気合いを入れるんだな。
30162,v009_00_0042,6736,ch0160000161,exact,character_voice,009,main,0042,お前たち、今日はギルドで研修の仕上げがあるんだろう？,お前たち、今日はギルドで研修の仕上げがあるんだろう？
30163,v002_00_0015,6136,ch0020000162,exact,character_voice,002,main,0015,うん。今までのおさらいだけどね。,うん。今までのおさらいだけどね。
30164,v001_00_9000,6738,ch0010000163,exact,character_voice,001,main,9000,それが終われば、あたしたちも父さんと同じ『遊撃士』（ブレイサー）よ。,それが終われば、あたしたちも父さんと同じ『遊撃士（ブレイサー）』よ。
30165,v001_00_0035,6739,ch0010000164,exact,character_voice,001,main,0035,もう、子供扱いさせないんだから！,もう、子供扱いさせないんだから！
30166,v009_00_0043,6740,ch0160000165,exact,character_voice,009,main,0043,フフン、まだまだ青いな。,フフン、まだまだ青いな。
30167,v009_00_0044,6741,ch0160000166,exact,character_voice,009,main,0044,最初になれるのは《準遊撃士》。つまり見習いにすぎん。,最初になれるのは《準遊撃士》。つまり見習いにすぎん。
30168,v009_00_0045,6742,ch0160000167,exact,character_voice,009,main,0045,一人前になりたかったら早く《正遊撃士》になることだな。,一人前になりたかったら早く《正遊撃士》になることだな。
30169,v001_00_0036,6743,ch0010000168,exact,character_voice,001,main,0036,むむっ、上等じゃない。,むむっ、上等じゃない。
30170,v001_00_0037,6744,ch0010000169,exact,character_voice,001,main,0037,見てなさいよ～。いっぱい功績を上げまくって父さんを追い越してやるんだから！,見てなさいよ〜。いっぱい功績を上げまくって父さんを追い越してやるんだから！
30171,v009_00_0046,6745,ch0160000170,exact,character_voice,009,main,0046,はっはっはっ。やれるもんならやってみろ。,はっはっはっ。やれるもんならやってみろ。
30172,v002_00_0016,6145,ch0020000171,exact,character_voice,002,main,0016,なに張り合ってるんだか……,なに張り合ってるんだか……
30173,v002_00_0017,6747,ch0020000172,exact,character_voice,002,main,0017,エステル、油断は禁物だよ。,エステル、油断は禁物だよ。
30174,v002_00_0018,6748,ch0020000173,exact,character_voice,002,main,0018,今日は最後に試験だってあるんだからね。,今日は最後に試験だってあるんだからね。
30175,v001_00_0038,6148,ch0010000174,exact,character_voice,001,main,0038,え゛。,え゛。
30176,v001_00_0039,6750,ch0010000175,exact,character_voice,001,main,0039,……………………,……………………
30177,v001_00_0040,6150,ch0010000176,exact,character_voice,001,main,0040,試験って、ナニ？,試験って、ナニ？
30178,v002_00_0019,6151,ch0020000177,exact,character_voice,002,main,0019,ま、まさか……覚えてないとか言わないよね？,ま、まさか……覚えてないとか言わないよね？
30179,v002_00_0020,6753,ch0020000178,exact,character_voice,002,main,0020,研修が身に付いているかどうか確認するためのテストだよ。,研修が身に付いているかどうか確認するためのテストだよ。
30180,v002_00_0021,6754,ch0020000179,exact,character_voice,002,main,0021,合格できなかったら補習だってシェラさんが言ってたじゃないか。,合格できなかったら補習だってシェラさんが言ってたじゃないか。
30181,v001_00_0041,6154,ch0010000180,exact,character_voice,001,main,0041,やっば～……カンペキに忘れてたわ……,やっば〜……カンペキに忘れてたわ……
30182,v001_00_0042,6756,ch0010000181,exact,character_voice,001,main,0042,そういえばシェラ姉がそんなこと言ってたような気も……,そういえばシェラ姉がそんなこと言ってたような気も……
30183,v001_00_0043,6757,ch0010000182,exact,character_voice,001,main,0043,まーでも、何とかなるって♪,まーでも、何とかなるって☆
30184,v002_00_0022,6157,ch0020000183,exact,character_voice,002,main,0022,はあ、君って子は……ノンキというか、そそっかしいというか。,はあ、君って子は……ノンキというか、そそっかしいというか。
30185,v009_00_0047,6759,ch0160000184,exact,character_voice,009,main,0047,まったくもって嘆かわしい。,まったくもって嘆かわしい。
30186,v009_00_0048,6760,ch0160000185,exact,character_voice,009,main,0048,この楽天的な性格はいったい誰に似たもんだろうな。,この楽天的な性格はいったい誰に似たもんだろうな。
30187,v001_00_0044,6761,ch0010000186,exact,character_voice,001,main,0044,し、失礼ね～。父さんほどじゃないってば！,し、失礼ね〜。父さんほどじゃないってば！
30188,v002_00_0023,6161,ch0020000187,exact,character_voice,002,main,0023,まったく、似たもの父娘だな。,まったく、似たもの父娘だな。
30189,v002_00_0024,6763,ch0020000188,exact,character_voice,002,main,0024,まあいいや。エステル、そろそろ町に行こう。,まあいいや。エステル、そろそろ町に行こう。
30190,v002_00_0025,6764,ch0020000189,exact,character_voice,002,main,0025,ギルドでシェラさんが待ってるよ。,ギルドでシェラさんが待ってるよ。
30191,v001_00_0045,6765,ch0010000190,exact,character_voice,001,main,0045,ん、わかった。シェラ姉を待たせると恐いもんね。,ん、わかった。シェラ姉を待たせると恐いもんね。
30192,v001_00_0046,6165,ch0010000191,exact,character_voice,001,main,0046,あ、そうだ父さん。,あ、そうだ父さん。
30193,v001_00_0047,6767,ch0010000192,exact,character_voice,001,main,0047,今夜の食事当番、あたしだけど何か食べたいものでもある？,今夜の食事当番、あたしだけど何か食べたいものでもある？
30194,v001_00_0048,6768,ch0010000193,exact,character_voice,001,main,0048,リクエスト、受け付けとくよ？,リクエスト、受け付けとくよ？
30195,v009_00_0049,6769,ch0160000194,exact,character_voice,009,main,0049,ふむ、食べたいものか……,ふむ、食べたいものか……
30196,v009_00_0050,6770,ch0160000195,exact,character_voice,009,main,0050,………………………………,………………………………
30197,v009_00_0051,6771,ch0160000196,exact,character_voice,009,main,0051,ルーアン風、魚の蒸し焼きバルサミコ酢風味なんてどうだ？,ルーアン風、魚の蒸し焼きバルサミコ酢風味なんてどうだ？
